icd9_code,icd9_code_nodot,specialty,sheet,procedure_group,operation,msbos,msbos_meaning,recommended_units
22.62,2262,ENT (Otolaryngology),ENT,Rhino,Limited FESS,none,No blood preparation,
22.62,2262,ENT (Otolaryngology),ENT,Head-Neck,Maxillectomy,T/S,Type and Screen,2
22.62,2262,ENT (Otolaryngology),ENT,Rhino,PNS tumor surgery,T/S,Type and Screen,1
22.63,2263,ENT (Otolaryngology),ENT,Rhino,Fullhouse FESS,none,No blood preparation,
22.63,2263,ENT (Otolaryngology),ENT,Rhino,Limited FESS,none,No blood preparation,
22.64,2264,ENT (Otolaryngology),ENT,Rhino,Fullhouse FESS,none,No blood preparation,
22.64,2264,ENT (Otolaryngology),ENT,Rhino,Limited FESS,none,No blood preparation,
25.59,2559,ENT (Otolaryngology),ENT,Sleep,Genioglossal advancement,none,No blood preparation,
26.30,2630,ENT (Otolaryngology),ENT,Head-Neck,Parotidectomy,none,No blood preparation,
27.43,2743,ENT (Otolaryngology),ENT,Facial plastic,Scar revision surgery,none,No blood preparation,
27.59,2759,ENT (Otolaryngology),ENT,Sleep,Genioglossal advancement,none,No blood preparation,
27.61,2761,General Surgery,Sx,ศัลยกรรมตกแต่ง,Cleft palate,T/S,Type and Screen,
27.62,2762,General Surgery,Sx,ศัลยกรรมตกแต่ง,Cleft palate,T/S,Type and Screen,
27.63,2763,General Surgery,Sx,ศัลยกรรมตกแต่ง,Cleft palate,T/S,Type and Screen,
27.69,2769,General Surgery,Sx,ศัลยกรรมตกแต่ง,Cleft palate,T/S,Type and Screen,
27.72,2772,ENT (Otolaryngology),ENT,Sleep,UPPP,none,No blood preparation,
27.73,2773,ENT (Otolaryngology),ENT,Sleep,UPPP,none,No blood preparation,
27.79,2779,ENT (Otolaryngology),ENT,Sleep,UPPP,none,No blood preparation,
27.99,2799,ENT (Otolaryngology),ENT,Head-Neck,Other operations on oral cavity,none,No blood preparation,
28.2,282,ENT (Otolaryngology),ENT,Sleep,Tonsillectomy,none,No blood preparation,
28.3,283,ENT (Otolaryngology),ENT,Sleep,Adenotonsillectomy,none,No blood preparation,
29.39,2939,ENT (Otolaryngology),ENT,Head-Neck,Pharyngeal surgery,none,No blood preparation,
29.4,294,ENT (Otolaryngology),ENT,Head-Neck,Pharyngeal surgery,none,No blood preparation,
30.09,3009,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
30.09,3009,ENT (Otolaryngology),ENT,Head-Neck,Laryngectomy,none,No blood preparation,
30.09,3009,ENT (Otolaryngology),ENT,Larynx,MicroDL + laser,none,No blood preparation,
30.1,301,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
30.22,3022,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
30.29,3029,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
30.29,3029,ENT (Otolaryngology),ENT,Head-Neck,Laryngectomy,none,No blood preparation,
30.3,303,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
30.3,303,ENT (Otolaryngology),ENT,Head-Neck,Laryngectomy,none,No blood preparation,
30.4,304,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
30.4,304,ENT (Otolaryngology),ENT,Head-Neck,Laryngectomy,none,No blood preparation,
31.29,3129,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.3,313,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.3,313,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.41,3141,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.42,3142,ENT (Otolaryngology),ENT,Larynx,Direct laryngoscopy,none,No blood preparation,
31.42,3142,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.42,3142,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.45,3145,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.45,3145,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.5,315,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.61,3161,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.64,3164,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.69,3169,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.71,3171,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.72,3172,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.73,3173,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.74,3174,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.75,3175,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.75,3175,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.79,3179,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.92,3192,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.92,3192,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
31.98,3198,ENT (Otolaryngology),ENT,Larynx,Laryngeal surgery,none,No blood preparation,
31.99,3199,ENT (Otolaryngology),ENT,Larynx,Tracheal surgery,none,No blood preparation,
32.01,3201,ENT (Otolaryngology),ENT,Larynx,Broncho + laser,none,No blood preparation,
32.20,3220,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.21,3221,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.22,3222,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.23,3223,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.25,3225,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.28,3228,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.29,3229,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.30,3230,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.39,3239,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.41,3241,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.49,3249,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.50,3250,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.59,3259,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.6,326,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
32.9,329,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.1,331,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.20,3320,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.28,3328,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.39,3339,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.43,3343,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.49,3349,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.50,3350,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.51,3351,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.52,3352,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
33.99,3399,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
34.51,3451,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
34.59,3459,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
34.93,3493,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Lung,G/M,Group and Match (crossmatch),1
35.10,3510,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.10,3510,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.11,3511,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.11,3511,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.12,3512,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.12,3512,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.13,3513,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.13,3513,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.14,3514,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.14,3514,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.20,3520,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.20,3520,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.21,3521,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.21,3521,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.22,3522,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.22,3522,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.23,3523,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.23,3523,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.24,3524,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.24,3524,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.25,3525,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.25,3525,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.26,3526,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.26,3526,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.27,3527,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.27,3527,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.28,3528,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.28,3528,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.31,3531,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.31,3531,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.32,3532,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.32,3532,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.33,3533,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.33,3533,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.34,3534,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.34,3534,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.35,3535,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.35,3535,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.39,3539,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.39,3539,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.42,3542,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.42,3542,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.50,3550,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.50,3550,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.51,3551,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.51,3551,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.52,3552,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.52,3552,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.53,3553,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.53,3553,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.54,3554,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.54,3554,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.60,3560,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.60,3560,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.61,3561,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.61,3561,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.62,3562,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.62,3562,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.63,3563,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.63,3563,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.70,3570,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.70,3570,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.71,3571,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.71,3571,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.72,3572,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.72,3572,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.73,3573,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.73,3573,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.81,3581,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.81,3581,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.82,3582,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.82,3582,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.83,3583,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.83,3583,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.84,3584,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.84,3584,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.91,3591,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.91,3591,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.92,3592,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.92,3592,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.93,3593,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.93,3593,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.94,3594,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.94,3594,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.95,3595,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.95,3595,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.98,3598,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.98,3598,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
35.99,3599,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,G/M,Group and Match (crossmatch),4
35.99,3599,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),G/M,Group and Match (crossmatch),6
36.10,3610,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
36.11,3611,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
36.12,3612,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
36.13,3613,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
36.14,3614,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
36.15,3615,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
36.16,3616,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
36.17,3617,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
36.19,3619,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Coronary artery bypass grafting (CABG),none,No blood preparation,
38.07,3807,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.09,3809,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.12,3812,General Surgery,Sx,ศัลยกรรมทั่วไป,Carotid surgery,T/S,Type and Screen,
38.18,3818,General Surgery,Sx,ศัลยกรรมทั่วไป,Common femoral endarterectomy,none,No blood preparation,
38.34,3834,General Surgery,Sx,ศัลยกรรมทั่วไป,Open aneurysm repair,G/M,Group and Match (crossmatch),4
38.34,3834,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Thoracoabdominal,G/M,Group and Match (crossmatch),10
38.35,3835,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Thoracoabdominal,G/M,Group and Match (crossmatch),10
38.36,3836,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Thoracoabdominal,G/M,Group and Match (crossmatch),10
38.37,3837,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Thoracoabdominal,G/M,Group and Match (crossmatch),10
38.37,3837,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.39,3839,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.44,3844,General Surgery,Sx,ศัลยกรรมทั่วไป,Open aneurysm repair,G/M,Group and Match (crossmatch),4
38.44,3844,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Thoracoabdominal,G/M,Group and Match (crossmatch),10
38.45,3845,General Surgery,Sx,ศัลยกรรมทั่วไป,Open aneurysm repair,G/M,Group and Match (crossmatch),4
38.45,3845,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Thoracoabdominal,G/M,Group and Match (crossmatch),10
38.46,3846,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Thoracoabdominal,G/M,Group and Match (crossmatch),10
38.47,3847,General Surgery,Sx,ศัลยกรรมหัวใจและทรวงอก,Thoracoabdominal,G/M,Group and Match (crossmatch),10
38.47,3847,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.49,3849,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.50,3850,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.51,3851,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.52,3852,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.53,3853,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.55,3855,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.57,3857,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.59,3859,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.67,3867,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
38.69,3869,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
39.25,3925,General Surgery,Sx,ศัลยกรรมทั่วไป,Aorto-bifemoral bypass,G/M,Group and Match (crossmatch),2
39.27,3927,General Surgery,Sx,ศัลยกรรมทั่วไป,Arteriovenous fistula (AVF)/arteriovenous graft (AVG),none,No blood preparation,
39.29,3929,General Surgery,Sx,ศัลยกรรมทั่วไป,Axillo-bifemoral bypass,T/S,Type and Screen,
39.29,3929,General Surgery,Sx,ศัลยกรรมทั่วไป,Femero-libial bypass,T/S,Type and Screen,
39.29,3929,General Surgery,Sx,ศัลยกรรมทั่วไป,Femeropopliteal bypass (above knee),T/S,Type and Screen,
39.29,3929,General Surgery,Sx,ศัลยกรรมทั่วไป,Femeropopliteal bypass (below knee),T/S,Type and Screen,
39.32,3932,General Surgery,Sx,ศัลยกรรมทั่วไป,Venous surgery,none,No blood preparation,
39.42,3942,General Surgery,Sx,ศัลยกรรมทั่วไป,Arteriovenous fistula (AVF)/arteriovenous graft (AVG),none,No blood preparation,
39.51,3951,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (aneurysm),G/M,Group and Match (crossmatch),2
39.52,3952,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (aneurysm),G/M,Group and Match (crossmatch),2
39.59,3959,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (aneurysm),G/M,Group and Match (crossmatch),2
39.8,398,ENT (Otolaryngology),ENT,Head-Neck,Carotid body tumor,T/S,Type and Screen,2
39.98,3998,Orthopedics,Ortho,Tumor,Pathologies fx fixation from Bleeding CA,G/M,Group and Match (crossmatch),2
40.41,4041,ENT (Otolaryngology),ENT,Head-Neck,"Neck dissection, unilateral",none,No blood preparation,
40.42,4042,ENT (Otolaryngology),ENT,Head-Neck,"Neck dissection, bilateral",none,No blood preparation,
42.40,4240,General Surgery,Sx,ศัลยกรรมทั่วไป,Esophagectomy/bypass,G/M,Group and Match (crossmatch),2
42.40,4240,General Surgery,Sx,ศัลยกรรมทั่วไป,Esophagectomy/bypass (redo),G/M,Group and Match (crossmatch),4
42.41,4241,General Surgery,Sx,ศัลยกรรมทั่วไป,Esophagectomy/bypass,G/M,Group and Match (crossmatch),2
42.41,4241,General Surgery,Sx,ศัลยกรรมทั่วไป,Esophagectomy/bypass (redo),G/M,Group and Match (crossmatch),4
42.42,4242,General Surgery,Sx,ศัลยกรรมทั่วไป,Esophagectomy/bypass,G/M,Group and Match (crossmatch),2
