icd9_code,icd9_code_nodot,specialty,sheet,procedure_group,operation,msbos,msbos_meaning,recommended_units
81.51,8151,Orthopedics,Ortho,Arthroplasty,"THA, revision THA",G/M,Group and Match (crossmatch),2
81.52,8152,Orthopedics,Ortho,Arthroplasty,Bipolar,T/S,Type and Screen,1
81.52,8152,Orthopedics,Ortho,Trauma,Bipolar hemiarthroplasty,T/S,Type and Screen,1
81.53,8153,Orthopedics,Ortho,Arthroplasty,"THA, revision THA",G/M,Group and Match (crossmatch),2
81.54,8154,Orthopedics,Ortho,Arthroplasty,"TKA, revision TKA",T/S,Type and Screen,1
81.54,8154,Orthopedics,Ortho,Arthroplasty,UKA,none,No blood preparation,
81.55,8155,Orthopedics,Ortho,Arthroplasty,"TKA, revision TKA",T/S,Type and Screen,1
81.59,8159,Orthopedics,Ortho,Arthroplasty,"TKA, revision TKA",T/S,Type and Screen,1
81.80,8180,Orthopedics,Ortho,Sport,Reverse shoulder arthroplasty,T/S,Type and Screen,2
81.80,8180,Orthopedics,Ortho,Sport,Total shoulder arthroplasty,T/S,Type and Screen,1
81.99,8199,Orthopedics,Ortho,Sport,Reverse shoulder arthroplasty,T/S,Type and Screen,2
83.39,8339,Orthopedics,Ortho,Tumor,Excision benign bone tumor with tourniquet,none,No blood preparation,
83.39,8339,Orthopedics,Ortho,Tumor,Excision benign soft-tissue tumor,T/S,Type and Screen,1
83.49,8349,Orthopedics,Ortho,Tumor,Excision benign bone tumor with tourniquet,none,No blood preparation,
83.49,8349,Orthopedics,Ortho,Tumor,Excision benign soft-tissue tumor,T/S,Type and Screen,1
83.82,8382,ENT (Otolaryngology),ENT,Facial plastic,Facial reanimation surgery,none,No blood preparation,
84.00,8400,Orthopedics,Ortho,Tumor,Amputation,T/S,Type and Screen,1-2
84.09,8409,Orthopedics,Ortho,Tumor,Forequarter amputation,G/M,Group and Match (crossmatch),2
84.10,8410,Orthopedics,Ortho,Tumor,Amputation,T/S,Type and Screen,1-2
84.19,8419,Orthopedics,Ortho,Tumor,Hindquarter amputation,G/M,Group and Match (crossmatch),3
84.59,8459,Orthopedics,Ortho,Trauma,SI screw,none,No blood preparation,
85.12,8512,Orthopedics,Ortho,Tumor,Incisional biopsy,none,No blood preparation,
86.22,8622,General Surgery,Sx,ศัลยกรรมตกแต่ง,Debride 20% burn,G/M,Group and Match (crossmatch),2
86.3,863,ENT (Otolaryngology),ENT,Facial plastic,Facial fat injection,none,No blood preparation,
86.60,8660,ENT (Otolaryngology),ENT,Facial plastic,Free flap reconstruction,T/S,Type and Screen,2
86.63,8663,ENT (Otolaryngology),ENT,Facial plastic,Free flap reconstruction,T/S,Type and Screen,2
86.69,8669,ENT (Otolaryngology),ENT,Facial plastic,Free flap reconstruction,T/S,Type and Screen,2
86.70,8670,ENT (Otolaryngology),ENT,Facial plastic,Local flap reconstruction,none,No blood preparation,
86.71,8671,ENT (Otolaryngology),ENT,Facial plastic,Regional flap reconstruction,none,No blood preparation,
86.72,8672,ENT (Otolaryngology),ENT,Facial plastic,Regional flap reconstruction,none,No blood preparation,
86.74,8674,ENT (Otolaryngology),ENT,Facial plastic,Regional flap reconstruction,none,No blood preparation,
86.75,8675,ENT (Otolaryngology),ENT,Facial plastic,Regional flap reconstruction,none,No blood preparation,
86.82,8682,ENT (Otolaryngology),ENT,Facial plastic,Facelift surgery,none,No blood preparation,
86.83,8683,ENT (Otolaryngology),ENT,Facial plastic,Facial liposuction,none,No blood preparation,
86.84,8684,ENT (Otolaryngology),ENT,Facial plastic,Scar revision surgery,none,No blood preparation,
,,General Surgery,Sx,ศัลยกรรมทั่วไป,Complex EVAR,G/M,Group and Match (crossmatch),2
,,General Surgery,Sx,ศัลยกรรมทั่วไป,Endovascular aortic aneurysm repair (EVAR),T/S,Type and Screen,
,,General Surgery,Sx,ศัลยกรรมทั่วไป,Endovascular intervention : normal case,none,No blood preparation,
,,General Surgery,Sx,ศัลยกรรมทั่วไป,Endovascular intervention : risk for rupture,T/S,Type and Screen,
,,Orthopedics,Ortho,Pediatric,"Ext, no tourniquet",G/M,Group and Match (crossmatch),1
,,Orthopedics,Ortho,Pediatric,Extremity with tourniquet,T/S,Type and Screen,1
,,Orthopedics,Ortho,Pediatric,Hip and spine,G/M,Group and Match (crossmatch),2
