oprtact,icd9,icd9_nodot,score,human_index,human_agreed,human_icd9,name
IS099,596,596,1.000,0,true,,Paraurethral suspension
IS100,3812,3812,1.000,1,false,3811,"Endarterectomy, other vessels of head and neck"
IS101,4562,4562,1.000,1,false,4561,Other partial resection of small intestine
IS102,5021,5021,0.937,1,false,5023,Marsupialization of lesion of liver
IS103,634,634,1.000,1,false,8532,Epididymectomy
IS104,634,634,1.000,1,false,6549,Epididymectomy
IS105,4242,4242,0.908,0,true,,Total esophagectomy
IS106,4242,4242,0.964,0,true,,Total esophagectomy
IS107,4253,4253,0.971,1,false,4255,Intrathoracic esophageal anastomosis with interposition of small bowel
IS108,4241,4241,0.998,0,true,,Partial esophagectomy
IS109,427,427,1.000,1,false,4691,Esophagomyotomy
IS110,4221,4221,1.000,1,false,4223,Operative esophagoscopy by incision
IS111,3992,3992,1.000,1,false,4201,Injection of sclerosing agent into vein
IS112,9851,9851,1.000,1,false,9852,"Extracorporeal shockwave lithotripsy [ESWL] of the kidney, ureter and/or bladder"
IS113,9851,9851,1.000,1,false,9852,"Extracorporeal shockwave lithotripsy [ESWL] of the kidney, ureter and/or bladder"
IS114,8934,8934,1.000,1,false,9504,Digital examination of rectum
IS115,632,632,0.905,1,false,5531,Excision of cyst of epididymis
IS116,631,631,1.000,1,false,6394,Excision of varicocele and hydrocele of spermatic cord
IS117,4531,4531,0.920,1,false,8626,Other local excision of lesion of duodenum
IS118,8521,8521,1.000,1,false,8523,Local excision of lesion of breast
IS119,8521,8521,1.000,1,false,8512,Local excision of lesion of breast
IS120,67,67,1.000,1,false,292,Excision of thyroglossal duct or tract
IS121,5847,5847,1.000,0,true,,Urethral meatoplasty
IS122,632,632,1.000,1,false,6391,Excision of cyst of epididymis
IS123,5341,5341,0.960,1,false,5751,Other and open repair of umbilical hernia with graft or prosthesis
IS124,4231,4231,1.000,1,false,595,Local excision of esophageal diverticulum
IS125,631,631,1.000,1,false,6372,Excision of varicocele and hydrocele of spermatic cord
IS126,3821,3821,0.998,0,true,,Biopsy of blood vessel
IS127,4399,4399,1.000,0,true,,Other total gastrectomy
IS128,4251,4251,0.906,1,false,435,Intrathoracic esophagoesophagostomy
IS129,4467,4467,0.871,1,false,4242,Laparoscopic procedures for creation of esophagogastric sphincteric competence
IS130,5411,5411,1.000,0,true,,Exploratory laparotomy
IS131,5501,5501,0.935,1,false,5581,Nephrotomy
IS132,6352,6352,1.000,1,false,625,Reduction of torsion of testis or spermatic cord
IS133,35,35,0.958,1,false,9984,Computer assisted surgery with multiple datasets
IS134,5411,5411,1.000,0,true,,Exploratory laparotomy
IS135,8682,8682,1.000,0,true,,Facial rhytidectomy
IS136,5462,5462,0.959,1,false,5461,Delayed closure of granulating abdominal wound
IS137,8212,8212,0.967,0,true,,Fasciotomy of hand
IS138,3929,3929,0.908,1,false,3923,Other (peripheral) vascular shunt or bypass
IS139,4912,4912,1.000,1,false,4973,Anal fistulectomy
IS140,8412,8412,0.983,0,true,,Amputation through foot
IS141,4467,4467,1.000,1,false,4466,Laparoscopic procedures for creation of esophagogastric sphincteric competence
IS142,436,436,1.000,1,false,437,Partial gastrectomy with anastomosis to duodenum
IS143,436,436,0.901,1,false,4439,Partial gastrectomy with anastomosis to duodenum
IS144,4439,4439,0.998,1,false,437,Other gastroenterostomy without gastrectomy
IS145,4311,4311,1.000,1,false,9702,Percutaneous [endoscopic] gastrostomy [PEG]
IS146,4319,4319,0.996,1,false,4311,Other gastrostomy
IS147,1239,1239,1.000,0,true,,Other iridoplasty
IS148,4946,4946,1.000,0,true,,Excision of hemorrhoids
IS149,8664,8664,1.000,1,false,863,Hair transplant
IS150,427,427,1.000,1,false,8302,Esophagomyotomy
IS151,1735,1735,1.000,1,false,4575,Laparoscopic left hemicolectomy
IS152,4573,4573,0.997,1,false,1733,Open and other right hemicolectomy
IS153,639,639,0.966,1,false,62,Other partial thyroidectomy
IS154,5022,5022,0.852,0,true,,Partial hepatectomy
IS155,5022,5022,0.933,0,true,,Partial hepatectomy
IS156,5339,5339,0.936,1,false,5349,Other bilateral femoral herniorrhaphy
IS157,5349,5349,1.000,1,false,539,Other open umbilical herniorrhaphy
IS158,8607,8607,1.000,1,false,3897,Insertion of totally implantable vascular access device [VAD]
IS159,612,612,0.993,1,false,610,Excision of hydrocele (of tunica vaginalis)
IS160,612,612,0.889,1,false,610,Excision of hydrocele (of tunica vaginalis)
IS161,3929,3929,0.944,1,false,3925,Other (peripheral) vascular shunt or bypass
IS162,8604,8604,0.950,1,false,4901,Other incision with drainage of skin and subcutaneous tissue
IS163,4901,4901,1.000,1,false,4902,Incision of perianal abscess
IS164,4281,4281,1.000,1,false,9701,Insertion of permanent tube into esophagus
IS165,8693,8693,1.000,1,false,8595,Insertion of tissue expander
IS166,4641,4641,0.963,1,false,9752,Revision of stoma of small intestine
IS167,4632,4632,1.000,1,false,4432,Percutaneous (endoscopic) jejunostomy [PEJ]
IS168,4631,4631,0.904,1,false,4632,Delayed opening of other enterostomy
